Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Earnings Before Interest and Tax,Fixed Assets,Gross Margin,Gross Profit,Income Tax,Inventory,Investments,Liabilities,Net Borrowings,Net Cash Flow,Net Income,Net Income Applicable to Common Shareholders,Operating Income,Operating Margin,Profit Margin,Retained Earnings,Total Assets,Total Liabilities,Earnings Per Share
CMI,2016-12-31,3236000000.0,-265000000.0,71000000.0,20.0,-531000000.0,32.0,1120000000.0,-4000000.0,2153000000.0,13057000000.0,178.0,1999000000.0,3800000000.0,25.0,4452000000.0,474000000.0,2675000000.0,-255000000.0,189000000.0,179000000.0,-591000000.0,1394000000.0,1394000000.0,1928000000.0,11.0,8.0,11040000000.0,7707000000.0,15011000000.0,
CMS,2013-12-31,1000000000.0,-120000000.0,2000000.0,13.0,-1325000000.0,10.0,204000000.0,202000000.0,3000000.0,4562000000.0,130.0,1157000000.0,12246000000.0,31.0,2004000000.0,302000000.0,881000000.0,-139000000.0,4000000.0,427000000.0,79000000.0,465000000.0,452000000.0,1142000000.0,17.0,7.0,-1242000000.0,2526000000.0,17379000000.0,271929824.561
CMS,2014-12-31,1118000000.0,-31000000.0,-28000000.0,13.0,-1577000000.0,13.0,244000000.0,-36000000.0,3000000.0,5090000000.0,133.0,1139000000.0,13412000000.0,29.0,2089000000.0,250000000.0,918000000.0,-255000000.0,50000000.0,714000000.0,45000000.0,492000000.0,477000000.0,1152000000.0,16.0,7.0,-1058000000.0,2597000000.0,19148000000.0,279545454.545
CMS,2015-12-31,1123000000.0,120000000.0,19000000.0,14.0,-1564000000.0,12.0,285000000.0,147000000.0,3000000.0,4281000000.0,101.0,1196000000.0,14705000000.0,34.0,2175000000.0,271000000.0,778000000.0,-385000000.0,-26000000.0,742000000.0,39000000.0,537000000.0,523000000.0,1163000000.0,18.0,8.0,-855000000.0,2320000000.0,20262000000.0,282631578.947
CMS,2016-12-31,1077000000.0,-155000000.0,-44000000.0,13.0,-1672000000.0,10.0,254000000.0,146000000.0,3000000.0,4010000000.0,86.0,1266000000.0,15715000000.0,37.0,2389000000.0,273000000.0,626000000.0,-136000000.0,59000000.0,530000000.0,-31000000.0,564000000.0,551000000.0,1297000000.0,20.0,9.0,-616000000.0,2280000000.0,21585000000.0,
CNC,2012-12-31,219066000.0,-117000000.0,35000000.0,0.0,-82000000.0,,843952000.0,0.0,55000.0,6781000000.0,,143000000.0,375893000.0,16.0,1329000000.0,47000000.0,0.0,-106000000.0,363000000.0,178000000.0,270000000.0,2000000.0,2000000.0,108000000.0,1.0,0.0,566820000.0,0.0,2773905000.0,50000000.0
CNC,2013-12-31,376000000.0,-143000000.0,19000000.0,13.0,-68000000.0,,1038000000.0,0.0,0.0,8995000000.0,,296000000.0,395000000.0,17.0,1868000000.0,107000000.0,0.0,-211000000.0,335000000.0,135000000.0,194000000.0,165000000.0,165000000.0,277000000.0,3.0,2.0,732000000.0,0.0,3529000000.0,55369127.5168
CNC,2014-12-31,1004000000.0,-463000000.0,28000000.0,16.0,-103000000.0,,1610000000.0,0.0,0.0,12678000000.0,,492000000.0,445000000.0,23.0,3882000000.0,196000000.0,0.0,-609000000.0,1333000000.0,194000000.0,572000000.0,271000000.0,271000000.0,464000000.0,3.0,2.0,1003000000.0,0.0,5824000000.0,117826086.957
CNC,2015-12-31,1183000000.0,-360000000.0,35000000.0,16.0,-150000000.0,,1760000000.0,0.0,0.0,17242000000.0,,740000000.0,518000000.0,24.0,5518000000.0,339000000.0,0.0,-652000000.0,599000000.0,338000000.0,150000000.0,355000000.0,355000000.0,705000000.0,3.0,2.0,1358000000.0,0.0,7339000000.0,118729096.99
CNP,2012-12-31,1475000000.0,10000000.0,257000000.0,10.0,-1212000000.0,33.0,646000000.0,27000000.0,0.0,4747000000.0,80.0,1326000000.0,13597000000.0,36.0,2705000000.0,340000000.0,322000000.0,-365000000.0,-34000000.0,511000000.0,426000000.0,417000000.0,417000000.0,1038000000.0,14.0,6.0,0.0,2874000000.0,22871000000.0,425510204.082
CNP,2013-12-31,1605000000.0,-256000000.0,67000000.0,7.0,-1286000000.0,32.0,208000000.0,-22000000.0,0.0,5755000000.0,88.0,1265000000.0,9593000000.0,29.0,2351000000.0,470000000.0,285000000.0,9000000.0,234000000.0,-410000000.0,-438000000.0,311000000.0,311000000.0,1010000000.0,12.0,4.0,0.0,2658000000.0,21870000000.0,426027397.26
CNP,2014-12-31,1001000000.0,39000000.0,113000000.0,13.0,-1372000000.0,44.0,298000000.0,-102000000.0,0.0,6890000000.0,117.0,1356000000.0,10502000000.0,25.0,2336000000.0,274000000.0,379000000.0,-1000000.0,-5000000.0,478000000.0,90000000.0,611000000.0,611000000.0,935000000.0,10.0,7.0,0.0,3268000000.0,23200000000.0,430281690.141
CNP,2015-12-31,758000000.0,345000000.0,27000000.0,20.0,-1584000000.0,43.0,264000000.0,28000000.0,0.0,5109000000.0,109.0,-673000000.0,11537000000.0,31.0,2277000000.0,-438000000.0,347000000.0,180000000.0,-276000000.0,-54000000.0,-34000000.0,-692000000.0,-692000000.0,933000000.0,13.0,9.0,0.0,2689000000.0,21334000000.0,429813664.596
COF,2012-12-31,450000000.0,-495000000.0,0.0,9.0,-560000000.0,,75046000000.0,0.0,6000000.0,1403000000.0,,6156000000.0,3587000000.0,0.0,0.0,1475000000.0,0.0,-651000000.0,857000000.0,10669000000.0,5220000000.0,3492000000.0,3462000000.0,0.0,0.0,15.0,16853000000.0,0.0,3.12918e+11,562318840.58
COF,2013-12-31,307000000.0,356000000.0,0.0,10.0,-818000000.0,,67223000000.0,0.0,6000000.0,1241000000.0,,7129000000.0,3839000000.0,0.0,0.0,2224000000.0,0.0,4287000000.0,385000000.0,-9054000000.0,-4767000000.0,4121000000.0,4051000000.0,0.0,0.0,17.0,20292000000.0,0.0,2.96933e+11,584539007.092
COF,2014-12-31,254000000.0,-29000000.0,0.0,10.0,-502000000.0,,69250000000.0,0.0,6000000.0,1088000000.0,,7060000000.0,3685000000.0,0.0,0.0,2146000000.0,0.0,-15602000000.0,121000000.0,8197000000.0,951000000.0,4428000000.0,4343000000.0,0.0,0.0,19.0,23973000000.0,0.0,3.08167e+11,574319066.148
COF,2015-12-31,299000000.0,-72000000.0,0.0,9.0,-532000000.0,,71703000000.0,0.0,6000000.0,1091000000.0,,6415000000.0,3584000000.0,0.0,0.0,1869000000.0,0.0,-19270000000.0,620000000.0,9964000000.0,781000000.0,4050000000.0,3872000000.0,0.0,0.0,16.0,27045000000.0,0.0,3.34048e+11,566433566.434
